activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
tanh,auto,31,mse,1,1,1,1,1,1,1,1,1,1,0,0,26,adaptive,9,sqrt,9,21,randomForestRegressor,8,6,sgd,uniform,0.858358154787661,382.59047568798997
tanh,auto,28,mse,1,0,1,1,1,1,1,1,1,1,0,1,22,adaptive,76,sqrt,7,11,randomForestRegressor,8,6,sgd,distance,0.7346085054976158,382.59056040714495
tanh,auto,23,mse,1,1,1,0,1,1,1,1,0,1,0,1,35,constant,50,sqrt,9,6,nnRegressor,7,4,sgd,distance,0.059060095834809645,382.59060494601727
tanh,auto,30,mse,1,0,1,1,1,1,1,1,0,1,1,1,20,constant,7,sqrt,10,10,randomForestRegressor,7,6,adam,distance,0.6391596304714109,382.59064780618064
tanh,auto,18,mse,1,1,1,1,1,1,1,1,0,1,1,1,21,constant,68,sqrt,4,21,randomForestRegressor,5,6,adam,uniform,0.4907090983763841,382.59068979509175
tanh,auto,25,mse,1,0,1,1,1,1,1,1,1,1,1,1,22,adaptive,19,sqrt,7,34,randomForestRegressor,7,5,adam,distance,0.5367941254911581,382.5907320850529
relu,auto,30,mse,1,1,1,1,1,1,1,1,0,1,1,0,31,invscaling,82,sqrt,6,33,randomForestRegressor,8,5,adam,uniform,0.5425510475088959,382.5907736441586
tanh,auto,28,mse,1,0,1,1,1,1,1,1,0,1,1,0,21,invscaling,96,sqrt,6,2,randomForestRegressor,7,9,lbfgs,uniform,0.5294951078971545,382.5908152142074
tanh,auto,30,mse,1,1,1,0,1,1,1,1,1,1,1,0,17,adaptive,63,auto,6,9,randomForestRegressor,5,5,adam,distance,0.4938284159083328,382.5908567230217
tanh,auto,21,mse,1,0,1,0,1,1,1,1,0,1,1,0,7,invscaling,91,auto,4,11,randomForestRegressor,7,9,lbfgs,uniform,0.42060845042243256,382.59089814312756
relu,auto,24,mse,1,0,1,0,1,1,1,1,1,1,0,0,23,constant,65,auto,10,9,randomForestRegressor,8,5,adam,uniform,0.5151849761229745,382.59093944216147
tanh,auto,30,mse,1,0,1,0,1,1,1,1,0,1,0,0,21,adaptive,72,sqrt,4,11,randomForestRegressor,8,6,lbfgs,uniform,0.9925485028162592,382.5909804920666
relu,auto,30,mse,1,1,1,1,1,1,1,1,1,1,0,0,34,adaptive,29,sqrt,3,33,nnRegressor,8,6,sgd,distance,0.4499025109801429,382.59102158108726
relu,auto,26,mse,1,0,1,0,1,1,1,1,1,1,1,1,35,constant,32,sqrt,4,12,randomForestRegressor,4,6,adam,distance,0.3517439042523417,382.59106259117834
relu,auto,23,mse,1,0,1,1,1,1,1,1,0,1,0,0,21,invscaling,36,sqrt,10,32,nnRegressor,8,6,lbfgs,uniform,0.4276443264460468,382.5911036999896
tanh,auto,17,mse,1,1,1,1,1,1,1,1,0,1,1,0,36,adaptive,65,auto,4,29,randomForestRegressor,9,6,adam,distance,0.7981549187978354,382.59114480018616
tanh,auto,25,mse,1,0,1,0,1,1,1,1,0,1,1,0,17,constant,23,sqrt,3,15,randomForestRegressor,9,7,lbfgs,distance,0.2735435591243297,382.5911861490458
tanh,auto,13,mse,1,0,1,1,1,1,1,1,0,1,1,0,22,invscaling,45,auto,3,24,nnRegressor,8,5,sgd,distance,0.1259137647359907,382.59122707904316
tanh,auto,28,mse,1,0,1,0,1,1,1,1,1,1,0,1,9,constant,47,sqrt,13,20,randomForestRegressor,6,6,adam,uniform,0.4604858878080933,382.59126849798486
relu,auto,23,mse,1,1,1,0,1,1,1,1,1,1,1,1,20,constant,18,sqrt,16,14,randomForestRegressor,6,5,adam,distance,0.4057508788543551,382.5913101180922
relu,auto,27,mse,1,1,1,1,1,1,1,1,1,1,1,1,22,constant,13,auto,5,17,nnRegressor,7,10,adam,distance,0.9858802709554965,536.0264713950455
relu,auto,24,mse,1,1,1,1,1,1,1,1,1,1,1,1,18,constant,80,auto,4,9,nnRegressor,7,8,adam,distance,0.9919519206531787,536.0265461939853
relu,auto,24,mse,1,1,1,1,1,1,1,1,1,1,1,1,31,constant,54,auto,5,10,nnRegressor,6,8,adam,distance,0.995789207881692,536.0265899840742
relu,auto,26,mse,1,1,1,1,1,1,1,1,1,1,1,1,17,constant,11,auto,8,10,nnRegressor,5,10,adam,distance,0.9694840095918864,536.0266321729869
relu,auto,22,mse,1,1,1,1,1,1,1,1,1,1,1,1,20,constant,72,auto,4,17,nnRegressor,9,8,adam,distance,0.9908461650039574,536.0266740331426
relu,auto,21,mse,1,1,1,1,1,1,1,1,1,1,1,1,18,constant,23,auto,3,30,nnRegressor,8,7,adam,distance,0.9840856664256019,536.0267164220568
relu,auto,26,mse,1,1,1,1,1,1,1,1,1,1,1,1,27,constant,86,auto,2,29,nnRegressor,9,7,adam,distance,0.9902960295444463,536.0267579210922
relu,auto,24,mse,1,1,1,1,1,1,1,1,1,1,1,1,17,constant,93,auto,5,3,nnRegressor,9,9,adam,distance,0.995316577498829,536.0267993609887
relu,auto,26,mse,1,1,1,1,1,1,1,1,1,1,1,1,13,constant,67,auto,2,12,nnRegressor,7,6,adam,distance,0.999992919277937,536.0268406900577
relu,auto,23,mse,1,1,1,1,1,1,1,1,1,1,1,1,9,constant,89,auto,4,9,nnRegressor,6,9,adam,distance,0.999995258335449,536.0268819401972
relu,auto,21,mse,1,1,1,1,1,1,1,1,1,1,1,1,19,constant,69,auto,6,13,nnRegressor,7,9,adam,distance,0.9999791793332216,536.0269231991842
relu,auto,27,mse,1,1,1,1,1,1,1,1,1,1,1,1,18,constant,76,auto,4,11,nnRegressor,8,8,adam,distance,0.9925485028162592,536.0269645990338
relu,auto,27,mse,1,1,1,1,1,1,1,1,1,1,1,1,30,constant,33,auto,4,29,nnRegressor,7,10,adam,distance,0.9956289525138331,536.0270055981819
relu,auto,26,mse,1,1,1,1,1,1,1,1,1,1,1,1,31,constant,36,auto,4,10,nnRegressor,6,8,adam,distance,0.9941551763473214,536.0270463570487
relu,auto,23,mse,1,1,1,1,1,1,1,1,1,1,1,1,17,constant,40,auto,6,28,nnRegressor,7,10,adam,distance,0.9997015202055234,536.0270875671413
relu,auto,19,mse,1,1,1,1,1,1,1,1,1,1,1,1,32,constant,69,auto,3,25,nnRegressor,9,8,adam,distance,0.9999905473307078,536.027129095979
relu,auto,24,mse,1,1,1,1,1,1,1,1,1,1,1,1,13,constant,27,auto,2,11,nnRegressor,10,9,adam,distance,0.9872661214197335,536.0271697561257
relu,auto,17,mse,1,1,1,1,1,1,1,1,1,1,1,1,18,constant,49,auto,5,20,nnRegressor,7,9,adam,distance,0.9810343211491833,536.0272113550454
relu,auto,29,mse,1,1,1,1,1,1,1,1,1,1,1,1,8,constant,51,auto,9,16,nnRegressor,8,6,adam,distance,0.9924596615770928,536.0272524650209
relu,auto,25,mse,1,1,1,1,1,1,1,1,1,1,1,1,16,constant,22,auto,12,10,nnRegressor,9,8,adam,distance,0.9847543917738635,536.0272938041016
relu,auto,23,mse,1,1,1,1,1,1,1,1,1,1,1,1,18,constant,17,auto,2,13,nnRegressor,6,10,adam,distance,0.9965906908614041,774.8170679721516
relu,auto,20,mse,1,1,1,1,1,1,1,1,1,1,1,1,14,constant,84,auto,3,10,nnRegressor,6,10,adam,distance,0.9965345150548474,774.8171299910173
relu,auto,23,mse,1,1,1,1,1,1,1,1,1,1,1,1,27,constant,58,auto,6,9,nnRegressor,8,10,adam,distance,0.9922875421776727,774.817173571093
relu,auto,22,mse,1,1,1,1,1,1,1,1,1,1,1,1,13,constant,15,auto,4,12,nnRegressor,7,10,adam,distance,0.999146475727855,774.8172166100703
relu,auto,23,mse,1,1,1,1,1,1,1,1,1,1,1,1,16,constant,76,auto,4,13,nnRegressor,10,10,adam,distance,0.9959101313314884,774.8172590190079
relu,auto,19,mse,1,1,1,1,1,1,1,1,1,1,1,1,14,constant,27,auto,2,26,nnRegressor,7,9,adam,distance,0.9987316944958495,774.8173006391153
relu,auto,22,mse,1,1,1,1,1,1,1,1,1,1,1,1,23,constant,90,auto,4,25,nnRegressor,9,10,adam,distance,0.9993725618298271,774.8173429081216
relu,auto,20,mse,1,1,1,1,1,1,1,1,1,1,1,1,13,constant,91,auto,3,7,nnRegressor,9,9,adam,distance,0.9985557584953798,774.817384678172
relu,auto,24,mse,1,1,1,1,1,1,1,1,1,1,1,1,9,constant,71,auto,6,8,nnRegressor,8,6,adam,distance,0.9979774979183176,774.8174262170214
relu,auto,23,mse,1,1,1,1,1,1,1,1,1,1,1,1,5,constant,91,auto,4,13,nnRegressor,7,9,adam,distance,0.9987823074170726,774.8174672261812
relu,auto,21,mse,1,1,1,1,1,1,1,1,1,1,1,1,23,constant,73,auto,4,9,nnRegressor,8,6,adam,distance,0.9997392564697015,774.8175088460557
relu,auto,23,mse,1,1,1,1,1,1,1,1,1,1,1,1,14,constant,80,auto,4,11,nnRegressor,8,9,adam,distance,0.9996129598410302,774.8175649452023
relu,auto,23,mse,1,1,1,1,1,1,1,1,1,1,1,1,26,constant,37,auto,5,25,nnRegressor,7,10,adam,distance,0.9965906908614041,774.8176066540182
relu,auto,22,mse,1,1,1,1,1,1,1,1,1,1,1,1,27,constant,40,auto,4,11,nnRegressor,8,10,adam,distance,0.9994746926415762,774.8176474741194
relu,auto,21,mse,1,1,1,1,1,1,1,1,1,1,1,1,13,constant,44,auto,4,24,nnRegressor,8,10,adam,distance,0.9975501584234389,774.8176882930566
relu,auto,19,mse,1,1,1,1,1,1,1,1,1,1,1,1,28,constant,73,auto,6,21,nnRegressor,6,10,adam,distance,0.9991816159168486,774.8177293830086
relu,auto,20,mse,1,1,1,1,1,1,1,1,1,1,1,1,9,constant,31,auto,4,9,nnRegressor,6,10,adam,distance,0.9990957887501871,774.8177704720292
relu,auto,21,mse,1,1,1,1,1,1,1,1,1,1,1,1,14,constant,53,auto,4,16,nnRegressor,6,10,adam,distance,0.9997518127570262,774.8178112711757
relu,auto,25,mse,1,1,1,1,1,1,1,1,1,1,1,1,7,constant,55,auto,5,12,nnRegressor,9,10,adam,distance,0.9991303267758914,774.8178611211479
relu,auto,21,mse,1,1,1,1,1,1,1,1,1,1,1,1,12,constant,26,auto,8,10,nnRegressor,10,10,adam,distance,0.998564795758822,774.8179028402083
relu,auto,19,mse,1,1,1,1,1,1,1,1,1,1,1,1,14,constant,21,auto,2,10,nnRegressor,7,10,adam,distance,0.9987823074170726,1006.1540415741038
relu,auto,20,mse,1,1,1,1,1,1,1,1,1,1,1,1,10,constant,88,auto,2,12,nnRegressor,7,10,adam,distance,0.9997073364174132,1006.1541051841341
relu,auto,22,mse,1,1,1,1,1,1,1,1,1,1,1,1,23,constant,62,auto,5,9,nnRegressor,9,10,adam,distance,0.9996974947753284,1006.1541486631613
relu,auto,20,mse,1,1,1,1,1,1,1,1,1,1,1,1,10,constant,19,auto,2,11,nnRegressor,8,9,adam,distance,0.9996522960891012,1006.1541913521942
relu,auto,23,mse,1,1,1,1,1,1,1,1,1,1,1,1,12,constant,80,auto,4,9,nnRegressor,10,9,adam,distance,0.9997354829786169,1006.1542329920921
relu,auto,20,mse,1,1,1,1,1,1,1,1,1,1,1,1,11,constant,31,auto,2,22,nnRegressor,7,10,adam,distance,0.9995826621004061,1006.1542748510838
relu,auto,26,mse,1,1,1,1,1,1,1,1,1,1,1,1,19,constant,92,auto,3,21,nnRegressor,7,6,adam,distance,0.9959101313314884,1006.1543162711896
relu,auto,19,mse,1,1,1,1,1,1,1,1,1,1,1,1,9,constant,90,auto,4,10,nnRegressor,6,9,adam,distance,0.9993902701144093,1006.1543574400712
relu,auto,28,mse,1,1,1,1,1,1,1,1,1,1,1,1,13,constant,67,auto,5,12,nnRegressor,4,10,adam,distance,0.9976462643938447,1006.1543985791504
relu,auto,20,mse,1,1,1,1,1,1,1,1,1,1,1,1,7,constant,92,auto,4,11,nnRegressor,8,9,adam,distance,0.9975501584234389,1006.1544398891274
relu,auto,23,mse,1,1,1,1,1,1,1,1,1,1,1,1,19,constant,69,auto,8,9,nnRegressor,8,9,adam,distance,0.9987316944958495,1006.1544814880472
relu,auto,20,mse,1,1,1,1,1,1,1,1,1,1,1,1,10,constant,84,auto,4,11,nnRegressor,6,9,adam,distance,0.9996974947753284,1006.1545338172
relu,auto,20,mse,1,1,1,1,1,1,1,1,1,1,1,1,22,constant,41,auto,5,21,nnRegressor,7,10,adam,distance,0.9975501584234389,1006.1545756170526
relu,auto,25,mse,1,1,1,1,1,1,1,1,1,1,1,1,23,constant,44,auto,4,11,nnRegressor,7,10,adam,distance,0.999327105171508,1006.1546169761568
relu,auto,23,mse,1,1,1,1,1,1,1,1,1,1,1,1,9,constant,48,auto,6,20,nnRegressor,7,6,adam,distance,0.9987316944958495,1006.15465820604
relu,auto,18,mse,1,1,1,1,1,1,1,1,1,1,1,1,24,constant,77,auto,2,19,nnRegressor,10,6,adam,distance,0.9994315711415136,1006.1546995451208
relu,auto,18,mse,1,1,1,1,1,1,1,1,1,1,1,1,6,constant,35,auto,5,9,nnRegressor,5,10,adam,distance,0.9997073364174132,1006.1547414350789
relu,auto,17,mse,1,1,1,1,1,1,1,1,1,1,1,1,10,constant,57,auto,4,17,nnRegressor,8,9,adam,distance,0.9962425957042962,1006.154782694066
relu,auto,22,mse,1,1,1,1,1,1,1,1,1,1,1,1,8,constant,59,auto,4,9,nnRegressor,8,6,adam,distance,0.998564795758822,1006.1548241029959
relu,auto,25,mse,1,1,1,1,1,1,1,1,1,1,1,1,15,constant,30,auto,9,10,nnRegressor,6,10,adam,distance,0.9961982388719584,1006.1548654630315
relu,auto,18,mse,1,1,1,1,1,1,1,1,1,1,1,1,10,constant,25,auto,4,9,nnRegressor,7,8,adam,distance,0.9995826621004061,1254.320105736144
relu,auto,21,mse,1,1,1,1,1,1,1,1,1,1,1,1,7,constant,91,auto,6,9,nnRegressor,7,9,adam,distance,0.999056243249755,1254.3201676351018
relu,auto,21,mse,1,1,1,1,1,1,1,1,1,1,1,1,19,constant,66,auto,4,12,nnRegressor,6,10,adam,distance,0.9959101313314884,1254.3202120040078
relu,auto,21,mse,1,1,1,1,1,1,1,1,1,1,1,1,7,constant,23,auto,4,12,nnRegressor,6,9,adam,distance,0.9993648733789411,1254.3202545740642
relu,auto,23,mse,1,1,1,1,1,1,1,1,1,1,1,1,9,constant,84,auto,4,13,nnRegressor,6,9,adam,distance,0.9997354829786169,1254.3202968931291
relu,auto,21,mse,1,1,1,1,1,1,1,1,1,1,1,1,9,constant,35,auto,2,18,nnRegressor,7,8,adam,distance,0.999056243249755,1254.3203383430373
relu,auto,24,mse,1,1,1,1,1,1,1,1,1,1,1,1,15,constant,90,auto,2,17,nnRegressor,9,10,adam,distance,0.9979774979183176,1254.3203805421945
relu,auto,23,mse,1,1,1,1,1,1,1,1,1,1,1,1,5,constant,90,auto,4,12,nnRegressor,5,9,adam,distance,0.9994315711415136,1254.3204220510088
relu,auto,24,mse,1,1,1,1,1,1,1,1,1,1,1,1,17,constant,71,auto,5,8,nnRegressor,6,10,adam,distance,0.9970205670884951,1254.3204633311834
relu,auto,21,mse,1,1,1,1,1,1,1,1,1,1,1,1,8,constant,90,auto,4,10,nnRegressor,5,9,adam,distance,0.9993648733789411,1254.3205047301017
relu,auto,21,mse,1,1,1,1,1,1,1,1,1,1,1,1,15,constant,73,auto,7,10,nnRegressor,7,8,adam,distance,0.9996974947753284,1254.3205613091122
relu,auto,20,mse,1,1,1,1,1,1,1,1,1,1,1,1,6,constant,88,auto,4,11,nnRegressor,5,9,adam,distance,0.9997073364174132,1254.3206027790438
relu,auto,20,mse,1,1,1,1,1,1,1,1,1,1,1,1,18,constant,45,auto,3,17,nnRegressor,7,9,adam,distance,0.999056243249755,1254.3206440880895
relu,auto,25,mse,1,1,1,1,1,1,1,1,1,1,1,1,22,constant,48,auto,4,9,nnRegressor,6,9,adam,distance,0.9977264442591801,1254.3206851880532
relu,auto,22,mse,1,1,1,1,1,1,1,1,1,1,1,1,13,constant,52,auto,7,16,nnRegressor,8,9,adam,distance,0.9975501584234389,1254.3207265671808
relu,auto,20,mse,1,1,1,1,1,1,1,1,1,1,1,1,20,constant,81,auto,2,15,nnRegressor,6,7,adam,distance,0.9993622256774047,1254.3207677670289
relu,auto,22,mse,1,1,1,1,1,1,1,1,1,1,1,1,7,constant,39,auto,5,10,nnRegressor,8,9,adam,distance,0.999348076193306,1254.3208087361418
relu,auto,16,mse,1,1,1,1,1,1,1,1,1,1,1,1,14,constant,61,auto,6,13,nnRegressor,7,8,adam,distance,0.9975883312644954,1254.3208499751054
relu,auto,20,mse,1,1,1,1,1,1,1,1,1,1,1,1,7,constant,63,auto,4,8,nnRegressor,7,6,adam,distance,0.999327105171508,1254.3208920450415
relu,auto,21,mse,1,1,1,1,1,1,1,1,1,1,1,1,11,constant,34,auto,5,12,nnRegressor,4,9,adam,distance,0.9990866973501683,1254.32093350403
