activation,algorithm,batchSize,criterion,feature_0,feature_1,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
logistic,brute,9,entropy,1,1,30,adaptive,6,sqrt,18,13,nnClassifier,9,7,lbfgs,distance,0.5132075471698113
identity,kd_tree,20,gini,0,0,38,adaptive,27,log2,14,22,randomForestClassifier,5,2,lbfgs,uniform,0
relu,kd_tree,21,entropy,1,1,4,invscaling,41,auto,17,23,nnClassifier,10,9,sgd,distance,0.30754716981132074
logistic,auto,19,entropy,1,0,35,invscaling,44,sqrt,9,15,nnClassifier,7,7,adam,uniform,0.5622641509433962
identity,kd_tree,19,gini,1,0,26,invscaling,37,log2,7,8,nnClassifier,2,10,adam,distance,0.5830188679245283
relu,auto,9,entropy,1,1,28,invscaling,46,log2,16,40,kneighborsClassifier,6,7,lbfgs,distance,0.8867924528301887
tanh,ball_tree,18,entropy,1,1,18,invscaling,98,sqrt,2,6,kneighborsClassifier,1,9,adam,distance,0.8849056603773585
tanh,auto,29,gini,1,0,8,invscaling,23,sqrt,13,24,randomForestClassifier,6,6,lbfgs,distance,0.5452830188679245
tanh,brute,31,entropy,0,0,40,adaptive,63,sqrt,5,10,nnClassifier,10,7,sgd,uniform,0
relu,auto,19,gini,1,1,30,invscaling,53,log2,8,24,randomForestClassifier,6,3,lbfgs,uniform,0.9075471698113208
tanh,auto,28,entropy,0,1,7,constant,43,auto,9,6,randomForestClassifier,8,9,lbfgs,uniform,0.6849056603773584
logistic,brute,30,entropy,0,0,30,constant,64,log2,18,11,randomForestClassifier,2,7,sgd,uniform,0
tanh,ball_tree,26,gini,1,1,16,invscaling,1,auto,19,5,kneighborsClassifier,3,4,lbfgs,uniform,0.8905660377358491
identity,brute,21,entropy,0,0,8,invscaling,67,auto,9,24,randomForestClassifier,4,9,sgd,uniform,0
relu,brute,23,gini,1,0,22,invscaling,12,auto,16,6,kneighborsClassifier,1,3,adam,distance,0.5339622641509434
logistic,brute,13,entropy,0,0,12,invscaling,42,sqrt,14,8,kneighborsClassifier,5,3,lbfgs,distance,0
identity,brute,14,gini,1,0,29,adaptive,10,auto,17,29,nnClassifier,1,10,sgd,distance,0.5452830188679245
logistic,brute,31,entropy,0,0,35,invscaling,53,sqrt,18,31,kneighborsClassifier,6,10,adam,distance,0
logistic,kd_tree,17,gini,1,0,16,invscaling,5,auto,5,17,randomForestClassifier,2,8,sgd,uniform,0.5924528301886792
relu,brute,19,entropy,0,0,9,invscaling,18,auto,10,40,kneighborsClassifier,1,8,lbfgs,uniform,0
relu,auto,20,gini,0,1,27,adaptive,93,log2,10,24,randomForestClassifier,10,3,adam,distance,0.6962264150943396
tanh,auto,10,entropy,0,0,18,constant,25,auto,17,11,randomForestClassifier,1,5,sgd,uniform,0
tanh,kd_tree,20,entropy,1,1,11,invscaling,62,auto,18,34,kneighborsClassifier,6,7,adam,uniform,0.8867924528301887
logistic,kd_tree,18,entropy,1,0,4,adaptive,74,sqrt,15,7,nnClassifier,1,10,sgd,uniform,0.5962264150943396
logistic,auto,28,entropy,0,0,2,invscaling,52,auto,13,30,randomForestClassifier,9,3,lbfgs,distance,0
identity,auto,27,gini,1,1,12,adaptive,74,sqrt,10,26,kneighborsClassifier,5,4,adam,distance,0.8905660377358491
logistic,auto,17,entropy,0,1,29,adaptive,77,sqrt,14,30,nnClassifier,7,10,adam,distance,0.5207547169811321
identity,ball_tree,20,entropy,0,0,13,adaptive,53,log2,5,18,randomForestClassifier,2,2,adam,distance,0
relu,brute,15,entropy,0,0,18,invscaling,29,auto,3,26,randomForestClassifier,6,3,sgd,uniform,0
tanh,brute,20,gini,1,1,18,constant,98,sqrt,13,16,nnClassifier,9,6,lbfgs,uniform,0.5169811320754717
logistic,ball_tree,12,gini,1,0,11,constant,16,log2,17,32,randomForestClassifier,1,1,lbfgs,distance,0.5566037735849056
relu,ball_tree,10,gini,0,0,8,adaptive,62,sqrt,16,5,kneighborsClassifier,5,5,adam,distance,0
identity,auto,8,gini,0,0,10,constant,73,sqrt,4,18,nnClassifier,2,1,sgd,uniform,0
logistic,ball_tree,23,gini,1,0,35,constant,75,auto,3,5,randomForestClassifier,4,2,lbfgs,uniform,0.5490566037735849
relu,kd_tree,26,gini,0,0,2,invscaling,37,auto,19,21,nnClassifier,7,7,adam,distance,0
identity,ball_tree,14,gini,1,0,33,constant,5,log2,5,20,kneighborsClassifier,9,10,adam,distance,0.539622641509434
tanh,kd_tree,27,entropy,1,1,39,adaptive,95,sqrt,9,16,nnClassifier,5,6,adam,uniform,0.5150943396226415
relu,ball_tree,18,gini,1,0,3,adaptive,86,sqrt,13,29,kneighborsClassifier,2,9,adam,uniform,0.5358490566037736
identity,ball_tree,28,gini,0,1,16,invscaling,14,log2,11,17,randomForestClassifier,2,8,adam,distance,0.7075471698113207
logistic,ball_tree,24,gini,0,1,13,constant,47,log2,10,18,nnClassifier,5,10,sgd,distance,0.5962264150943396
tanh,brute,17,gini,0,1,40,invscaling,73,log2,2,34,randomForestClassifier,5,10,sgd,distance,0.6924528301886792
relu,kd_tree,10,entropy,1,0,40,adaptive,86,sqrt,6,10,nnClassifier,4,7,sgd,distance,0.5528301886792453
relu,auto,14,gini,0,0,11,invscaling,16,sqrt,6,15,randomForestClassifier,6,10,sgd,distance,0
logistic,brute,28,gini,0,0,36,adaptive,97,log2,9,26,kneighborsClassifier,3,8,sgd,distance,0
relu,ball_tree,28,gini,0,1,20,invscaling,73,sqrt,10,29,kneighborsClassifier,1,1,sgd,distance,0.6094339622641509
tanh,ball_tree,23,entropy,1,1,22,adaptive,21,log2,2,18,nnClassifier,10,9,lbfgs,distance,0.5132075471698113
relu,brute,29,gini,1,1,2,adaptive,43,auto,12,39,randomForestClassifier,6,10,sgd,distance,0.909433962264151
tanh,ball_tree,14,gini,0,0,30,invscaling,12,log2,6,7,randomForestClassifier,4,3,sgd,uniform,0
tanh,kd_tree,16,gini,1,0,26,adaptive,1,auto,20,31,nnClassifier,8,10,adam,uniform,0.5547169811320755
identity,auto,30,entropy,0,0,32,adaptive,21,log2,18,7,kneighborsClassifier,4,2,sgd,uniform,0
identity,auto,11,entropy,1,0,19,invscaling,26,auto,4,17,randomForestClassifier,1,7,lbfgs,uniform,0.5547169811320755
identity,auto,25,entropy,1,1,37,adaptive,9,auto,15,4,nnClassifier,1,8,sgd,uniform,0.5283018867924528
tanh,auto,10,entropy,0,1,23,constant,90,log2,7,18,nnClassifier,7,10,adam,uniform,0.4962264150943396
relu,auto,16,entropy,0,1,21,invscaling,85,sqrt,5,4,randomForestClassifier,5,1,lbfgs,distance,0.6830188679245283
relu,ball_tree,27,entropy,0,0,29,invscaling,70,sqrt,4,2,nnClassifier,2,9,sgd,distance,0
logistic,auto,22,entropy,0,0,27,invscaling,97,auto,14,5,kneighborsClassifier,8,2,adam,uniform,0
relu,brute,23,gini,0,1,10,invscaling,24,auto,14,5,randomForestClassifier,8,6,adam,distance,0.6981132075471698
logistic,kd_tree,24,entropy,1,0,35,constant,4,sqrt,3,39,kneighborsClassifier,2,8,lbfgs,uniform,0.5358490566037736
relu,auto,24,gini,0,1,24,adaptive,52,log2,6,33,nnClassifier,1,8,sgd,distance,0.5245283018867924
logistic,brute,9,gini,1,0,27,invscaling,71,log2,18,6,kneighborsClassifier,9,6,adam,uniform,0.5584905660377358
identity,auto,24,entropy,0,0,27,adaptive,82,auto,8,18,randomForestClassifier,5,10,lbfgs,uniform,0
logistic,brute,25,entropy,0,1,36,invscaling,96,sqrt,15,18,nnClassifier,3,6,lbfgs,distance,0.5962264150943396
tanh,kd_tree,32,entropy,0,1,21,constant,3,log2,15,31,nnClassifier,2,4,lbfgs,uniform,0.4528301886792453
tanh,kd_tree,21,entropy,0,1,10,invscaling,48,auto,15,31,nnClassifier,9,8,lbfgs,uniform,0.5
tanh,auto,30,gini,0,0,2,constant,91,sqrt,10,38,nnClassifier,7,4,adam,distance,0
tanh,brute,13,entropy,0,1,28,adaptive,81,log2,16,2,kneighborsClassifier,10,4,lbfgs,distance,0.6509433962264151
relu,auto,8,gini,1,1,34,invscaling,11,log2,18,25,randomForestClassifier,9,5,adam,uniform,0.9113207547169812
identity,kd_tree,8,gini,1,0,12,constant,21,sqrt,6,16,randomForestClassifier,4,10,adam,uniform,0.5283018867924528
logistic,ball_tree,28,gini,1,0,27,invscaling,35,auto,18,30,kneighborsClassifier,9,7,sgd,distance,0.5377358490566038
tanh,kd_tree,19,entropy,0,0,35,adaptive,62,auto,8,21,nnClassifier,10,4,lbfgs,uniform,0
tanh,brute,29,gini,0,1,20,adaptive,1,sqrt,15,28,nnClassifier,7,4,sgd,distance,0.5245283018867924
logistic,auto,8,gini,0,0,37,invscaling,35,log2,19,24,kneighborsClassifier,2,9,sgd,distance,0
identity,ball_tree,21,entropy,1,1,26,adaptive,16,sqrt,4,17,randomForestClassifier,3,1,sgd,uniform,0.9132075471698113
tanh,ball_tree,25,entropy,1,1,33,adaptive,32,auto,6,24,randomForestClassifier,3,8,sgd,uniform,0.9113207547169812
logistic,auto,8,entropy,0,0,37,invscaling,99,log2,17,11,nnClassifier,8,6,adam,uniform,0
identity,brute,29,entropy,0,0,38,adaptive,68,auto,19,37,kneighborsClassifier,1,4,lbfgs,uniform,0
logistic,kd_tree,27,gini,0,0,5,constant,81,auto,2,35,kneighborsClassifier,1,1,adam,uniform,0
identity,kd_tree,24,entropy,0,0,14,constant,9,auto,18,12,kneighborsClassifier,10,6,lbfgs,uniform,0
identity,kd_tree,27,entropy,0,0,26,invscaling,1,log2,3,37,nnClassifier,6,4,adam,uniform,0
relu,ball_tree,28,gini,1,0,17,invscaling,7,log2,4,16,randomForestClassifier,10,10,sgd,distance,0.6056603773584905
identity,brute,14,entropy,1,0,8,invscaling,94,sqrt,4,16,randomForestClassifier,9,8,adam,uniform,0.5528301886792453
identity,auto,31,entropy,0,0,39,invscaling,63,auto,10,36,randomForestClassifier,6,7,sgd,uniform,0
relu,auto,32,entropy,1,0,4,invscaling,36,auto,12,39,kneighborsClassifier,1,6,sgd,uniform,0.5452830188679245
logistic,ball_tree,13,gini,1,0,29,invscaling,38,log2,3,24,randomForestClassifier,4,5,lbfgs,distance,0.5547169811320755
tanh,auto,28,entropy,1,0,8,invscaling,98,auto,6,36,nnClassifier,9,9,lbfgs,distance,0.539622641509434
tanh,auto,22,gini,0,0,5,adaptive,97,auto,19,35,nnClassifier,7,8,adam,uniform,0
tanh,auto,21,gini,1,1,21,adaptive,96,auto,3,10,randomForestClassifier,1,10,sgd,uniform,0.9018867924528302
logistic,ball_tree,27,entropy,1,0,3,invscaling,76,sqrt,6,15,kneighborsClassifier,10,8,lbfgs,uniform,0.5452830188679245
relu,kd_tree,31,entropy,0,1,39,constant,72,sqrt,20,29,randomForestClassifier,10,2,adam,uniform,0.7037735849056603
identity,auto,17,entropy,0,0,2,constant,79,sqrt,15,34,nnClassifier,10,9,lbfgs,uniform,0
relu,auto,19,entropy,1,0,11,adaptive,55,auto,15,34,randomForestClassifier,5,9,sgd,uniform,0.5452830188679245
logistic,brute,30,gini,1,1,35,invscaling,59,sqrt,2,10,kneighborsClassifier,6,4,lbfgs,distance,0.8886792452830189
logistic,brute,26,gini,1,0,18,invscaling,93,log2,8,8,randomForestClassifier,4,3,lbfgs,uniform,0.5264150943396226
logistic,auto,28,entropy,1,0,32,constant,66,log2,16,20,kneighborsClassifier,5,7,adam,uniform,0.5264150943396226
identity,kd_tree,23,entropy,0,0,7,constant,14,auto,20,16,nnClassifier,10,4,sgd,uniform,0
relu,kd_tree,16,entropy,1,1,35,constant,87,log2,20,28,nnClassifier,4,6,sgd,uniform,0.5075471698113208
identity,brute,26,entropy,0,0,28,adaptive,25,auto,10,37,randomForestClassifier,2,2,sgd,uniform,0
relu,kd_tree,14,entropy,0,0,9,constant,83,auto,18,33,randomForestClassifier,4,8,adam,uniform,0
identity,auto,12,entropy,0,1,29,invscaling,57,log2,20,28,randomForestClassifier,6,10,lbfgs,distance,0.7037735849056603
tanh,auto,15,entropy,1,0,28,invscaling,33,auto,15,32,randomForestClassifier,2,7,lbfgs,uniform,0.5452830188679245
