,feature_0,feature_1,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.0,ok,None
1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.0,ok,None
2,1,0,randomForestClassifier,None,None,None,gini,None,None,72,sqrt,3,4,None,None,None,None,0.6,ok,0.7566261799074709
3,0,1,nnClassifier,identity,None,24,None,None,adaptive,None,None,None,None,2,None,lbfgs,None,0.539622641509434,ok,0.8374802500475198
4,1,0,nnClassifier,tanh,None,9,None,None,adaptive,None,None,None,None,5,None,adam,None,0.5509433962264151,ok,5.162433466874063
5,1,1,randomForestClassifier,None,None,None,gini,None,None,52,sqrt,3,15,None,None,None,None,0.8981132075471698,ok,5.703624294837937
6,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.0,ok,None
7,0,1,nnClassifier,relu,None,12,None,None,constant,None,None,None,None,2,None,sgd,None,0.5471698113207547,ok,22.31213906290941
8,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.0,ok,None
9,1,1,randomForestClassifier,None,None,None,entropy,None,None,26,sqrt,9,40,None,None,None,None,0.8943396226415095,ok,22.94934921595268
10,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.0,ok,None
11,1,0,nnClassifier,relu,None,16,None,None,invscaling,None,None,None,None,7,None,lbfgs,None,0.5528301886792453,ok,24.448419632855803
12,0,1,nnClassifier,logistic,None,20,None,None,constant,None,None,None,None,5,None,sgd,None,0.5471698113207547,ok,25.43267935188487
13,1,1,kneighborsClassifier,None,kd_tree,None,None,39,None,None,None,None,None,None,2,None,distance,0.8773584905660378,ok,25.45135105587542
14,1,0,nnClassifier,logistic,None,10,None,None,adaptive,None,None,None,None,3,None,lbfgs,None,0.5490566037735849,ok,26.23518952098675
15,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.0,ok,None
16,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.0,ok,None
17,1,0,nnClassifier,logistic,None,11,None,None,invscaling,None,None,None,None,6,None,adam,None,0.5471698113207547,ok,32.90473511395976
18,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.0,ok,None
19,0,1,randomForestClassifier,None,None,None,entropy,None,None,52,auto,12,15,None,None,None,None,0.6924528301886792,ok,33.511158543871716
20,1,1,randomForestClassifier,None,None,None,gini,None,None,11,sqrt,20,6,None,None,None,None,0.8943396226415095,ok,34.03320077690296
21,1,1,randomForestClassifier,None,None,None,gini,None,None,92,sqrt,20,3,None,None,None,None,0.8943396226415095,ok,34.5548208670225
22,1,1,randomForestClassifier,None,None,None,gini,None,None,97,sqrt,19,10,None,None,None,None,0.8943396226415095,ok,35.07181312004104
23,1,1,randomForestClassifier,None,None,None,gini,None,None,95,log2,15,12,None,None,None,None,0.8905660377358491,ok,35.59629825386219
24,1,1,randomForestClassifier,None,None,None,gini,None,None,78,sqrt,8,25,None,None,None,None,0.8962264150943396,ok,36.132673003012314
25,1,1,randomForestClassifier,None,None,None,gini,None,None,72,sqrt,8,24,None,None,None,None,0.8943396226415095,ok,36.667320240987465
26,1,1,randomForestClassifier,None,None,None,gini,None,None,75,sqrt,7,24,None,None,None,None,0.8962264150943396,ok,37.203039980027825
27,1,1,randomForestClassifier,None,None,None,gini,None,None,33,sqrt,6,32,None,None,None,None,0.8962264150943396,ok,37.74112084903754
28,1,1,randomForestClassifier,None,None,None,gini,None,None,31,auto,6,33,None,None,None,None,0.8981132075471698,ok,38.27589588495903
29,1,1,randomForestClassifier,None,None,None,gini,None,None,36,auto,13,35,None,None,None,None,0.8943396226415095,ok,38.79977293894626
30,1,1,kneighborsClassifier,None,ball_tree,None,None,3,None,None,None,None,None,None,2,None,uniform,0.879245283018868,ok,38.929294402943924
31,1,1,randomForestClassifier,None,None,None,gini,None,None,19,auto,5,17,None,None,None,None,0.8962264150943396,ok,39.47360949404538
32,1,1,randomForestClassifier,None,None,None,gini,None,None,40,auto,10,19,None,None,None,None,0.8943396226415095,ok,40.00682797585614
33,1,1,randomForestClassifier,None,None,None,gini,None,None,60,auto,6,27,None,None,None,None,0.8962264150943396,ok,40.54306954704225
34,1,1,randomForestClassifier,None,None,None,entropy,None,None,43,log2,2,21,None,None,None,None,0.8981132075471698,ok,41.22346075787209
35,1,1,kneighborsClassifier,None,brute,None,None,23,None,None,None,None,None,None,4,None,uniform,0.8905660377358491,ok,41.30056511005387
36,1,1,randomForestClassifier,None,None,None,gini,None,None,61,auto,15,9,None,None,None,None,0.8905660377358491,ok,41.82589559000917
37,1,1,randomForestClassifier,None,None,None,entropy,None,None,20,log2,2,36,None,None,None,None,0.8981132075471698,ok,42.49462208291516
38,1,1,randomForestClassifier,None,None,None,entropy,None,None,19,log2,2,13,None,None,None,None,0.8981132075471698,ok,43.19292436284013
39,1,1,randomForestClassifier,None,None,None,entropy,None,None,1,log2,2,12,None,None,None,None,0.8981132075471698,ok,43.88972746906802
40,1,1,kneighborsClassifier,None,kd_tree,None,None,12,None,None,None,None,None,None,5,None,uniform,0.8886792452830189,ok,43.93187000788748
41,1,1,randomForestClassifier,None,None,None,entropy,None,None,1,log2,17,7,None,None,None,None,0.8924528301886793,ok,44.55537133500911
42,0,1,nnClassifier,tanh,None,31,None,None,constant,None,None,None,None,10,None,adam,None,0.46037735849056605,ok,50.58682983601466
43,1,0,kneighborsClassifier,None,ball_tree,None,None,31,None,None,None,None,None,None,10,None,distance,0.5962264150943396,ok,50.61861928505823
44,0,1,nnClassifier,identity,None,31,None,None,invscaling,None,None,None,None,8,None,sgd,None,0.5339622641509434,ok,51.21030759392306
45,1,1,randomForestClassifier,None,None,None,entropy,None,None,42,log2,11,21,None,None,None,None,0.8962264150943396,ok,51.855919138062745
46,1,0,randomForestClassifier,None,None,None,entropy,None,None,13,log2,5,12,None,None,None,None,0.6056603773584905,ok,52.61976665095426
47,0,1,randomForestClassifier,None,None,None,entropy,None,None,28,auto,7,28,None,None,None,None,0.6867924528301886,ok,53.2549028059002
48,1,0,nnClassifier,identity,None,27,None,None,constant,None,None,None,None,4,None,lbfgs,None,0.5433962264150943,ok,53.33389506605454
49,1,1,kneighborsClassifier,None,brute,None,None,15,None,None,None,None,None,None,4,None,distance,0.8867924528301887,ok,53.3982676200103
50,0,1,randomForestClassifier,None,None,None,entropy,None,None,45,auto,4,32,None,None,None,None,0.6886792452830188,ok,54.05729851103388
51,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.0,ok,None
52,1,1,randomForestClassifier,None,None,None,entropy,None,None,1,log2,2,13,None,None,None,None,0.8962264150943396,ok,54.779340508859605
53,1,0,kneighborsClassifier,None,kd_tree,None,None,30,None,None,None,None,None,None,7,None,uniform,0.5943396226415094,ok,54.8227314169053
54,1,1,randomForestClassifier,None,None,None,gini,None,None,58,sqrt,3,17,None,None,None,None,0.9,ok,55.37682229792699
55,1,1,randomForestClassifier,None,None,None,entropy,None,None,60,log2,3,18,None,None,None,None,0.8924528301886793,ok,56.056603719014674
56,0,1,nnClassifier,tanh,None,15,None,None,constant,None,None,None,None,7,None,adam,None,0.4867924528301887,ok,63.29127618391067
57,1,0,randomForestClassifier,None,None,None,gini,None,None,85,sqrt,9,35,None,None,None,None,0.6283018867924528,ok,63.923636018065736
58,1,1,randomForestClassifier,None,None,None,gini,None,None,65,auto,5,38,None,None,None,None,0.8981132075471698,ok,64.46165106701665
59,1,1,kneighborsClassifier,None,auto,None,None,30,None,None,None,None,None,None,3,None,distance,0.8867924528301887,ok,64.49271075893193
60,0,1,randomForestClassifier,None,None,None,gini,None,None,48,sqrt,10,20,None,None,None,None,0.6924528301886792,ok,65.02106885588728
61,1,0,nnClassifier,identity,None,15,None,None,invscaling,None,None,None,None,1,None,lbfgs,None,0.5433962264150943,ok,65.11858527502045
62,1,1,randomForestClassifier,None,None,None,entropy,None,None,70,log2,3,5,None,None,None,None,0.8943396226415095,ok,65.82207337487489
63,1,1,randomForestClassifier,None,None,None,entropy,None,None,56,sqrt,4,22,None,None,None,None,0.8962264150943396,ok,66.49466577987187
64,0,1,kneighborsClassifier,None,ball_tree,None,None,3,None,None,None,None,None,None,6,None,uniform,0.6660377358490566,ok,66.53875943599269
65,1,1,randomForestClassifier,None,None,None,entropy,None,None,22,log2,2,14,None,None,None,None,0.9,ok,67.23742545885034
66,1,1,randomForestClassifier,None,None,None,gini,None,None,29,auto,6,15,None,None,None,None,0.8943396226415095,ok,67.87574531906284
67,1,1,randomForestClassifier,None,None,None,entropy,None,None,21,log2,3,16,None,None,None,None,0.8962264150943396,ok,68.56788753601722
68,1,1,randomForestClassifier,None,None,None,entropy,None,None,7,log2,4,9,None,None,None,None,0.8981132075471698,ok,69.15476978803053
69,1,1,randomForestClassifier,None,None,None,entropy,None,None,39,log2,3,22,None,None,None,None,0.8943396226415095,ok,69.8323669070378
70,1,1,randomForestClassifier,None,None,None,entropy,None,None,49,log2,4,2,None,None,None,None,0.8943396226415095,ok,70.52621296490543
71,1,1,randomForestClassifier,None,None,None,entropy,None,None,13,sqrt,7,14,None,None,None,None,0.8943396226415095,ok,71.19373912806623
72,1,1,randomForestClassifier,None,None,None,entropy,None,None,6,log2,2,11,None,None,None,None,0.8886792452830189,ok,71.74511825595982
73,1,1,randomForestClassifier,None,None,None,entropy,None,None,23,sqrt,13,7,None,None,None,None,0.8905660377358491,ok,72.38231204589829
74,1,1,randomForestClassifier,None,None,None,entropy,None,None,55,log2,8,17,None,None,None,None,0.8962264150943396,ok,73.0433131728787
75,1,1,randomForestClassifier,None,None,None,entropy,None,None,35,sqrt,5,27,None,None,None,None,0.8962264150943396,ok,73.71003124001436
76,1,1,randomForestClassifier,None,None,None,gini,None,None,82,log2,18,38,None,None,None,None,0.8943396226415095,ok,74.23251814884134
77,1,1,nnClassifier,relu,None,28,None,None,invscaling,None,None,None,None,9,None,lbfgs,None,0.5094339622641509,ok,75.93176067085005
78,1,0,randomForestClassifier,None,None,None,gini,None,None,65,auto,5,19,None,None,None,None,0.6320754716981132,ok,76.61374006397091
79,1,1,randomForestClassifier,None,None,None,entropy,None,None,15,sqrt,3,10,None,None,None,None,0.8962264150943396,ok,77.30858702305704
80,1,1,kneighborsClassifier,None,auto,None,None,17,None,None,None,None,None,None,1,None,distance,0.8773584905660378,ok,77.340261033969
81,0,1,randomForestClassifier,None,None,None,gini,None,None,31,auto,9,30,None,None,None,None,0.690566037735849,ok,77.8529711230658
82,1,1,randomForestClassifier,None,None,None,entropy,None,None,7,log2,7,8,None,None,None,None,0.8924528301886793,ok,78.43767549283803
83,1,0,nnClassifier,identity,None,20,None,None,constant,None,None,None,None,4,None,sgd,None,0.530188679245283,ok,79.34413733286783
84,1,1,randomForestClassifier,None,None,None,gini,None,None,24,sqrt,15,24,None,None,None,None,0.8905660377358491,ok,79.87433404801413
85,1,1,kneighborsClassifier,None,ball_tree,None,None,8,None,None,None,None,None,None,10,None,uniform,0.8905660377358491,ok,79.9209188700188
86,0,1,randomForestClassifier,None,None,None,entropy,None,None,17,log2,2,4,None,None,None,None,0.6849056603773584,ok,80.66589131089859
87,1,0,randomForestClassifier,None,None,None,gini,None,None,37,auto,6,25,None,None,None,None,0.6283018867924528,ok,81.32630850793794
88,1,1,nnClassifier,logistic,None,8,None,None,adaptive,None,None,None,None,6,None,adam,None,0.49245283018867925,ok,107.69174586399458
89,1,1,randomForestClassifier,None,None,None,entropy,None,None,90,sqrt,4,14,None,None,None,None,0.8924528301886793,ok,108.40774641698226
90,0,1,randomForestClassifier,None,None,None,entropy,None,None,53,log2,12,16,None,None,None,None,0.6924528301886792,ok,109.03542710095644
91,1,0,kneighborsClassifier,None,kd_tree,None,None,35,None,None,None,None,None,None,1,None,uniform,0.5566037735849056,ok,109.08011836605147
92,1,1,randomForestClassifier,None,None,None,gini,None,None,10,log2,8,12,None,None,None,None,0.8943396226415095,ok,109.63350996887311
93,1,1,randomForestClassifier,None,None,None,gini,None,None,65,auto,5,18,None,None,None,None,0.8924528301886793,ok,110.19889107393101
94,1,1,nnClassifier,tanh,None,23,None,None,adaptive,None,None,None,None,8,None,lbfgs,None,0.5037735849056604,ok,113.6547715018969
95,0,1,randomForestClassifier,None,None,None,gini,None,None,26,auto,9,33,None,None,None,None,0.690566037735849,ok,114.17867162590846
96,1,1,randomForestClassifier,None,None,None,entropy,None,None,77,sqrt,3,10,None,None,None,None,0.8962264150943396,ok,114.89862038102001
97,1,0,kneighborsClassifier,None,brute,None,None,25,None,None,None,None,None,None,9,None,distance,0.5886792452830188,ok,114.97026423900388
98,1,1,randomForestClassifier,None,None,None,entropy,None,None,45,log2,14,6,None,None,None,None,0.8924528301886793,ok,115.71596897603013
99,1,1,randomForestClassifier,None,None,None,gini,None,None,69,auto,5,30,None,None,None,None,0.8981132075471698,ok,116.281025826931
