activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_4,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_5,feature_50,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
identity,brute,19,gini,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,36,adaptive,11,sqrt,6,40,nnClassifier,7,7,lbfgs,uniform,0.12581699346405228
identity,auto,32,gini,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,1,1,0,1,1,0,1,0,1,0,0,8,invscaling,67,sqrt,10,3,randomForestClassifier,6,5,adam,distance,0.5555555555555556
tanh,brute,23,entropy,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,1,1,0,1,0,1,5,invscaling,89,auto,10,10,randomForestClassifier,6,1,lbfgs,distance,0.5718954248366013
tanh,ball_tree,27,gini,0,1,1,1,0,1,0,1,1,0,1,1,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,25,adaptive,64,sqrt,7,39,randomForestClassifier,9,3,sgd,distance,0.553921568627451
relu,ball_tree,32,entropy,0,1,0,1,0,0,0,1,1,0,1,1,0,1,0,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,36,constant,7,log2,7,16,kneighborsClassifier,6,7,sgd,distance,0.5898692810457516
logistic,kd_tree,8,entropy,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,35,adaptive,16,log2,6,15,nnClassifier,9,5,sgd,uniform,0.15196078431372548
logistic,kd_tree,32,entropy,0,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,28,adaptive,45,auto,20,24,randomForestClassifier,3,6,sgd,distance,0.5277777777777778
identity,kd_tree,28,gini,0,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,1,18,constant,62,log2,7,3,randomForestClassifier,4,6,lbfgs,distance,0.5784313725490197
logistic,auto,30,gini,1,0,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1,1,4,adaptive,65,auto,14,10,randomForestClassifier,8,8,lbfgs,distance,0.5620915032679739
logistic,auto,8,entropy,1,0,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,1,0,0,1,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,15,invscaling,71,log2,15,30,randomForestClassifier,10,6,adam,distance,0.5424836601307189
logistic,ball_tree,15,gini,1,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,25,constant,19,auto,17,23,randomForestClassifier,3,8,sgd,uniform,0.5571895424836601
relu,brute,29,entropy,1,1,1,1,0,0,1,0,0,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,1,0,0,1,0,0,1,15,invscaling,11,log2,7,32,nnClassifier,9,6,sgd,uniform,0.0
logistic,auto,25,entropy,0,0,1,1,1,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,38,invscaling,74,auto,15,4,randomForestClassifier,7,6,sgd,uniform,0.5359477124183006
relu,brute,30,gini,0,0,1,1,1,0,0,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,16,adaptive,38,log2,4,23,randomForestClassifier,1,4,sgd,distance,0.5816993464052288
relu,kd_tree,31,entropy,1,1,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,0,0,1,0,1,36,constant,36,auto,2,17,kneighborsClassifier,6,5,sgd,distance,0.5898692810457516
identity,brute,28,gini,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,1,34,adaptive,9,sqrt,11,25,nnClassifier,2,4,sgd,distance,0.13562091503267973
identity,auto,20,entropy,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,1,33,constant,34,auto,10,22,randomForestClassifier,3,5,lbfgs,uniform,0.5604575163398693
logistic,auto,13,gini,0,1,0,1,1,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0,1,0,1,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1,25,adaptive,17,sqrt,6,35,kneighborsClassifier,3,4,adam,distance,0.5784313725490197
logistic,kd_tree,32,gini,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,7,constant,75,log2,2,12,kneighborsClassifier,5,1,sgd,uniform,0.5915032679738562
logistic,brute,27,gini,0,1,0,0,1,1,0,1,1,0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,18,adaptive,87,log2,2,32,nnClassifier,4,7,sgd,uniform,0.13071895424836602
logistic,ball_tree,17,gini,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,0,4,invscaling,21,sqrt,10,37,randomForestClassifier,1,7,lbfgs,distance,0.5490196078431373
relu,ball_tree,8,entropy,1,1,0,1,0,0,0,1,0,1,0,1,1,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,34,adaptive,86,sqrt,20,16,kneighborsClassifier,1,2,adam,distance,0.6045751633986928
identity,ball_tree,23,entropy,0,1,0,0,0,0,1,1,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,1,0,1,9,adaptive,84,auto,8,31,randomForestClassifier,7,4,adam,uniform,0.553921568627451
relu,auto,27,entropy,0,0,1,1,0,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,36,constant,91,auto,16,38,randomForestClassifier,1,5,adam,distance,0.5506535947712419
tanh,brute,26,entropy,1,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,40,invscaling,50,auto,8,32,kneighborsClassifier,1,10,lbfgs,uniform,0.5506535947712419
relu,brute,11,entropy,0,1,1,0,1,0,0,0,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,1,38,invscaling,66,sqrt,17,14,nnClassifier,3,9,adam,distance,0.20915032679738563
logistic,ball_tree,15,entropy,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,0,22,adaptive,14,log2,8,19,kneighborsClassifier,3,9,lbfgs,distance,0.6013071895424836
logistic,kd_tree,22,gini,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,0,0,1,1,1,0,1,1,0,0,1,1,1,1,0,27,adaptive,17,log2,5,28,kneighborsClassifier,1,1,lbfgs,distance,0.5816993464052288
relu,ball_tree,23,gini,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,23,adaptive,16,log2,2,2,nnClassifier,8,8,sgd,distance,0.17483660130718953
logistic,ball_tree,17,entropy,1,0,0,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,1,3,constant,52,sqrt,6,38,randomForestClassifier,6,2,lbfgs,uniform,0.5490196078431373
relu,ball_tree,16,gini,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,20,adaptive,93,log2,16,35,randomForestClassifier,4,6,sgd,distance,0.5359477124183006
identity,auto,20,entropy,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,0,1,1,0,0,1,21,adaptive,60,auto,16,30,nnClassifier,8,10,sgd,distance,0.1715686274509804
logistic,ball_tree,9,entropy,0,1,1,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,11,constant,17,auto,9,19,kneighborsClassifier,7,3,adam,uniform,0.5588235294117647
relu,brute,14,entropy,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,12,invscaling,76,log2,15,12,kneighborsClassifier,4,5,sgd,uniform,0.5571895424836601
identity,auto,32,gini,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,20,constant,91,sqrt,8,8,nnClassifier,4,1,lbfgs,distance,0.12908496732026145
logistic,brute,10,gini,1,0,0,0,0,1,1,1,0,1,0,1,1,0,1,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,18,constant,61,sqrt,17,20,kneighborsClassifier,5,3,lbfgs,uniform,0.5571895424836601
tanh,ball_tree,21,gini,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,32,adaptive,24,auto,5,25,kneighborsClassifier,6,7,adam,uniform,0.5473856209150327
identity,brute,20,entropy,1,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,0,0,1,1,35,constant,49,log2,14,26,randomForestClassifier,1,7,lbfgs,distance,0.5473856209150327
tanh,kd_tree,31,entropy,1,0,0,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,9,adaptive,29,auto,14,34,nnClassifier,6,4,lbfgs,distance,0.20261437908496732
identity,kd_tree,25,entropy,1,1,0,0,0,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,8,adaptive,65,sqrt,18,20,nnClassifier,8,5,sgd,uniform,0.15359477124183007
logistic,auto,16,entropy,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,1,1,0,1,12,invscaling,4,auto,6,28,nnClassifier,6,1,sgd,uniform,0.0
relu,ball_tree,22,gini,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,1,0,18,constant,49,sqrt,11,33,nnClassifier,8,7,lbfgs,distance,0.184640522875817
tanh,auto,16,entropy,0,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,6,invscaling,69,auto,16,3,randomForestClassifier,9,6,sgd,uniform,0.5359477124183006
identity,brute,13,entropy,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,1,1,0,0,1,12,constant,29,log2,5,9,kneighborsClassifier,5,10,sgd,distance,0.5833333333333334
relu,brute,20,entropy,1,1,1,0,0,1,0,1,0,1,0,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,29,constant,2,log2,12,40,kneighborsClassifier,3,9,lbfgs,uniform,0.5588235294117647
identity,ball_tree,9,entropy,1,0,0,0,1,0,0,1,1,0,1,1,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,1,1,0,1,1,1,0,1,1,17,adaptive,98,sqrt,11,27,kneighborsClassifier,9,6,adam,uniform,0.5751633986928104
identity,auto,16,entropy,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,21,adaptive,14,log2,6,18,randomForestClassifier,1,2,adam,uniform,0.5669934640522876
tanh,ball_tree,30,entropy,1,0,1,0,0,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,23,invscaling,84,auto,12,26,kneighborsClassifier,9,5,adam,uniform,0.5522875816993464
